SCHOOL_TITLE,COFFER_COURSE_ID,COFFERED_WITH,SECTION,CREDIT_HOUR,CAPACITY,ENROLLED,ROOM_ID,ROOM_CAPACITY,BLOCKED,COURSE_NAME,FACULTY_FULL_NAME,STRAT_TIME,END_TIME,ST_MW
SETS,CSE213,"CSE213,CSC305,CEN305",1,3,30,0,CSCLab2-S,30,B-0,Object Oriented Programming,T001-00 TBA TBA,14:00,15:30,ST
SETS,CSE213,"CSE213,CSC305,CEN305",2,3,38,37,GPLab-S,50,-1,Object Oriented Programming,4161-MR Subrata Kumar Dey,14:00,15:30,ST
SETS,CSE213,"CSE213,CSC305,CEN305",3,3,38,37,CSCLab3-S,35,-1,Object Oriented Programming,4161-MR Subrata Kumar Dey,14:00,15:30,MW
SETS,CSE213,"CSE213,CSC305,CEN305",4,3,38,37,CSCLab3-S,35,-1,Object Oriented Programming,4161-MR Subrata Kumar Dey,14:00,15:30,MW
SETS,CSE213L,"CSE213L,CSC305L,CEN305L",1,1,30,0,CSCLab2-S,30,0,Labwork based on CSE 213,T001-00 TBA TBA,11:00,12:30,S
SETS,CSE213L,"CSE213L,CSC305L,CEN305L",2,1,38,37,GPLab-S,50,0,Labwork based on CSE 213,4161-MR Subrata Kumar Dey,12:30,14:00,S
SETS,CSE213L,"CSE213L,CSC305L,CEN305L",3,1,38,37,CSCLab3-S,35,0,Labwork based on CSE 213,4161-MR Subrata Kumar Dey,15:30,17:00,M
SETS,CSE213L,"CSE213L,CSC305L,CEN305L",4,1,38,37,CSCLab3-S,35,0,Labwork based on CSE 213,4161-MR Subrata Kumar Dey,09:30,11:00,W
SETS,CSE214,"CSE214,CEN311,CSC311",1,3,40,38,BC4011-S,25,-1,Computer Organization & Architecture,4137-MR Mohammad Noor Nabi,12:30,14:00,ST
SETS,CSE214,"CSE214,CEN311,CSC311",2,3,40,36,C4004-S,40,-1,Computer Organization & Architecture,4137-MR Mohammad Noor Nabi,09:30,11:00,ST
SETS,CSE214,"CSE214,CEN311,CSC311",3,3,30,0,BC6013-S,50,B-0,Computer Organization & Architecture,T001-00 TBA TBA,12:30,14:00,MW
SETS,CSE216,"CSE216,CSC212,CEN212",1,3,50,39,BC6009-S,50,-1,Microprocessor Interfacing & Assembly Language,4242-MR Prof. Farruk Ahmed,11:00,12:30,ST
SETS,CSE216,"CSE216,CSC212,CEN212",2,3,50,28,BC6008-S,50,-1,Microprocessor Interfacing & Assembly Language,4242-MR Prof. Farruk Ahmed,08:00,09:30,ST
SETS,CSE216,"CSE216,CSC212,CEN212",3,3,30,-2,BC7015-S,50,0,Microprocessor Interfacing & Assembly Language,4273-MR Sarwar Shahidi,12:30,14:00,MW
SETS,CSE216L,"CSE216L,CSC212L,CEN212L",1,1,35,34,CENLAB-S,45,-1,Labwork based on CSE 216,4427-MR Rubayed Mehedi,12:30,14:00,S
SETS,CSE216L,"CSE216L,CSC212L,CEN212L",2,1,35,21,CENLAB-S,45,-1,Labwork based on CSE 216,4427-MR Rubayed Mehedi,14:00,15:30,S
SETS,CSE216L,"CSE216L,CSC212L,CEN212L",3,1,30,10,CENLAB-S,45,-1,Labwork based on CSE 216,4273-MR Sarwar Shahidi,14:00,15:30,M
SETS,CSE303,"CSC401,CEN401,CSE303",1,3,40,35,CSCLab1-S,25,-1,Database Management,4348-MR Md. Abu Sayed,14:00,15:30,ST
SETS,CSE303,"CSC401,CEN401,CSE303",2,3,40,40,CSCLab1-S,25,-1,Database Management,4434-MS Sadita Ahmed,15:30,17:00,MW
SETS,CSE303,"CSC401,CEN401,CSE303",3,3,40,35,CSCLab1-S,25,-1,Database Management,4348-MR Md. Abu Sayed,08:00,09:30,MW
SETS,CSE303L,"CSE303L,CSC401L,CEN401L",1,1,40,35,CSCLab1-S,25,0,Labwork based on CSE303,4348-MR Md. Abu Sayed,08:00,09:30,S
SETS,CSE303L,"CSE303L,CSC401L,CEN401L",2,1,40,40,CSCLab1-S,25,0,Labwork based on CSE303,4434-MS Sadita Ahmed,11:00,12:30,M
SETS,CSE303L,"CSE303L,CSC401L,CEN401L",3,1,40,35,CSCLab1-S,25,0,Labwork based on CSE303,4348-MR Md. Abu Sayed,08:00,09:30,W
SETS,CSE307,"CSE307,CSC405,CEN405",1,3,40,35,BC4012-S,25,-1,System Analysis and Design,4473-MS Farzana Sadia,08:00,09:30,ST
SETS,CSE307,"CSE307,CSC405,CEN405",2,3,40,29,BC6009-S,50,-1,System Analysis and Design,4434-MS Sadita Ahmed,14:00,15:30,MW
SETS,CSE307,"CSE307,CSC405,CEN405",3,3,40,27,C4005-S,40,-1,System Analysis and Design,4280-MS Nujhat Nahar,15:30,17:00,ST
SETS,CSE309,"CSE309,CSC455,CEN455",1,3,40,38,CSCLab3-S,35,-1,Web Application & Internet,4251-MR Md. Raihan Bin Rafique,12:30,14:00,ST
SETS,CSE309,"CSE309,CSC455,CEN455",2,3,40,38,CSCLab1-S,25,-1,Web Application & Internet,4251-MR Md. Raihan Bin Rafique,14:00,15:30,MW
SETS,CSE310,"CSE310,CEN310",1,3,35,35,BC6012-S,50,-1,Electronics II,4285-DR Ferdows Zahid,15:30,17:00,ST
SETS,CSE310,"CSE310,CEN310",2,3,35,26,BC5014-S,50,-1,Electronics II,4285-DR Ferdows Zahid,17:00,18:30,ST
SETS,CSE310L,"CSE310L,CEN310L",1,1,35,32,CENLAB-S,45,-1,Labwork based on CSE 310,4472-MR Azfar Hossain,14:00,15:30,T
SETS,CSE310L,"CSE310L,CEN310L",2,1,35,32,CENLAB-S,45,-1,Labwork based on CSE 310,4472-MR Azfar Hossain,17:00,18:30,M
SETS,CSE313,"CSE313,CSC411",1,3,53,53,BC6013-S,50,-1,Compiler Construction,4362-MR Bijoy Rahman Arif,11:00,12:30,ST
SETS,CSE313,"CSE313,CSC411",2,3,53,53,BC6009-S,50,-1,Compiler Construction,4362-MR Bijoy Rahman Arif,12:30,14:00,ST
SETS,CSE315,"CSE315,CSC413,CEN413",1,3,50,50,BC6007-S,50,-1,Design of Operating System,4137-MR Mohammad Noor Nabi,15:30,17:00,ST
SETS,CSE315,"CSE315,CSC413,CEN413",2,3,50,46,BC6008-S,50,-1,Design of Operating System,4137-MR Mohammad Noor Nabi,17:00,18:30,MW
SETS,CSE316,"CEN430,CSE316,CSC430",1,3,30,0,C3007-S,20,B-0,Data Communication & Computer Networks,T001-00 TBA TBA,12:30,14:00,ST
SETS,CSE316,"CEN430,CSE316,CSC430",2,3,45,33,C4005-S,40,0,Data Communication & Computer Networks,4383-DR Faisal Uddin,14:00,15:30,ST
SETS,CSE316,"CEN430,CSE316,CSC430",3,3,46,46,BC6013-S,50,0,Data Communication & Computer Networks,4474-DR Mst. Najnin Sultana,17:00,18:30,MW
SETS,CSE316,"CEN430,CSE316,CSC430",4,3,46,46,BC5002-S,50,0,Data Communication & Computer Networks,4474-DR Mst. Najnin Sultana,15:30,17:00,MW
SETS,CSE316L,"CSE316L,CSC430L,CEN430L",1,1,30,0,CSCLab1-S,25,B-0,Labwork based on CSE 316,T001-00 TBA TBA,12:30,14:00,T
SETS,CSE316L,"CSE316L,CSC430L,CEN430L",2,1,45,33,CSCLab1-S,25,0,Labwork based on CSE 316,4474-DR Mst. Najnin Sultana,08:00,09:30,T
SETS,CSE316L,"CSE316L,CSC430L,CEN430L",3,1,46,46,CSCLab1-S,25,0,Labwork based on CSE 316,4474-DR Mst. Najnin Sultana,15:30,17:00,M
SETS,CSE316L,"CSE316L,CSC430L,CEN430L",4,1,46,46,CSCLab1-S,25,0,Labwork based on CSE 316,4474-DR Mst. Najnin Sultana,14:00,15:30,W
SETS,CSE317,"CSE317,CSC317,CEN317",1,3,39,23,BC6013-S,50,-1,Numerical Methods,4401-MR AKM Mahbubur Rahman,09:30,11:00,ST
SETS,CSE317,"CSE317,CSC317,CEN317",2,3,38,38,BC6009-S,50,-1,Numerical Methods,4375-MR Mustafa Nizamul Aziz,17:00,18:30,MW
SETS,CSE317,"CSE317,CSC317,CEN317",3,3,33,21,C6005-S,40,-1,Numerical Methods,4336-DR Amin Ahsan Ali,18:30,21:30,MW
SETS,CSE317L,"CSE317L,CSC317L,CEN317L",1,1,39,23,CSCLab2-S,30,0,Labwork based on CSE317,4401-MR AKM Mahbubur Rahman,18:30,21:30,S
SETS,CSE317L,"CSE317L,CSC317L,CEN317L",2,1,38,38,CSCLab2-S,30,0,Labwork based on CSE317,4375-MR Mustafa Nizamul Aziz,18:30,21:30,M
SETS,CSE317L,"CSE317L,CSC317L,CEN317L",3,1,33,21,CSCLab4-S,35,0,Labwork based on CSE317,4336-DR Amin Ahsan Ali,18:30,21:30,W
SETS,CSE406,"CSE406,CSC450,CEN450,CSC550,CNC612",1,3,50,50,BC5012-S,50,-1,Cryptography and Network Security,4432-DR Al Sakib Khan Pathan,18:30,21:30,S
SETS,CSE417,"CSE417,CSC417,CSC551,SEN551",1,3,51,51,BC5013-S,50,-1,Data Mining and Warehouse,4389-MR Mohammad Shibli Kaysar,18:30,21:30,S
SETS,CSE420,"CSE420,CSC420,CEN420,CSC604",1,3,35,17,BC5012-S,50,-1,Image Processing,4466-DR Md. Mehedi Hasan,18:30,21:30,M
SETS,CSE425,"CSE425,CSC425,CEN425,CSC525",1,3,35,24,BC5012-S,50,-1,Artificial Intelligence,4336-DR Amin Ahsan Ali,18:30,21:30,W
SETS,CSE433,"CSE433,CSC470,CEN470,CSC660",1,3,35,16,BC5013-S,50,-1,Introduction to Parallel Programming,3620-DR Zoha Rahman,18:30,21:30,T
SETS,CSE434,"CSE434,CEN434,CSC434,CNC509",1,3,50,50,BC5013-S,50,-1,Advance Programming in UNIX,4137-MR Mohammad Noor Nabi,18:30,21:30,W
SETS,CSE451,"CSE451,CSC445,CEN445,CNC618,CSC545,SEN545",1,3,50,46,BC5013-S,50,-1,Software Engineering,4280-MS Nujhat Nahar,08:00,09:30,M
SETS,CSE454,"CSE454,CEN454,CSC454,SEN647,CSC647",1,3,35,25,BC5014-S,50,-1,Software Engineering Process Management,4473-MS Farzana Sadia,09:30,11:00,S
SETS,CSE457,"CSE457,CSC457,CEN457,SEN645",1,3,40,39,BC5014-S,50,-1,Project Management,4280-MS Nujhat Nahar,11:00,12:30,T
SETS,CSE464,"CSE464,CEN464",1,3,30,0,BC5014-S,50,B-0,Mobile Application Development,T001-00 TBA TBA,12:30,14:00,W
SETS,CSE498,"CSE498,CEN498,CSC498",1,6,10,0,BCTBA1-S,50,0,Senior Project,4184-DR Mahady Hasan,14:00,15:30,F
SETS,CSE498,"CSE498,CEN498,CSC498",2,6,10,2,BCTBA2-S,50,0,Senior Project,4242-MR Prof. Farruk Ahmed,15:30,17:00,F
SETS,CSE498,"CSE498,CEN498,CSC498",3,6,10,0,BCTBA4-S,50,0,Senior Project,4241-DR Md. Ashraful Amin,17:00,18:30,F
SETS,CSE498,"CSE498,CEN498,CSC498",4,6,10,0,BC001-S,50,0,Senior Project,4285-DR Ferdows Zahid,18:30,20:00,F
SETS,CSE498,"CSE498,CEN498,CSC498",5,6,10,4,BCTBA1-S,50,-1,Senior Project,4382-DR Tarem Ahmed,08:00,09:30,A
SETS,CSE498,"CSE498,CEN498,CSC498",6,6,10,1,BCTBA4-S,50,0,Senior Project,4336-DR Amin Ahsan Ali,09:30,11:00,A
SETS,CSE498,"CSE498,CEN498,CSC498",7,6,10,0,BCTBA4-S,50,0,Senior Project,4383-DR Faisal Uddin,11:00,12:30,R
SETS,CSE498,"CSE498,CEN498,CSC498",8,6,10,0,A4L04-S,20,0,Senior Project,4401-MR AKM Mahbubur Rahman,12:30,14:00,F
SETS,CSE498,"CSE498,CEN498,CSC498",9,6,10,0,A4L04-S,20,0,Senior Project,4448-DR Farzana Rahman,14:00,15:30,R
SETS,CSE499,"CSE499,CEN499,CSC499",1,3,10,9,BC001-S,50,-1,Internship Program,4137-MR Mohammad Noor Nabi,15:30,17:00,A
SETS,CSE499,"CSE499,CEN499,CSC499",2,3,10,0,BC001-S,50,0,Internship Program,4161-MR Subrata Kumar Dey,17:00,18:30,A
SETS,CSE499,"CSE499,CEN499,CSC499",3,3,10,10,BC001-S,50,-1,Internship Program,4453-MS Moumita Asad,18:30,20:00,A
SETS,CSE499,"CSE499,CEN499,CSC499",4,3,10,0,BC001-S,50,0,Internship Program,4362-MR Bijoy Rahman Arif,20:00,21:30,A
SETS,CSE499,"CSE499,CEN499,CSC499",5,3,10,7,BC001-S,50,-1,Internship Program,4348-MR Md. Abu Sayed,11:00,12:30,A
SETS,CSE499,"CSE499,CEN499,CSC499",6,3,10,0,BC001-S,50,0,Internship Program,4397-MR Mohammad Motiur Rahman,12:30,14:00,A
SETS,CSE499,"CSE499,CEN499,CSC499",7,3,10,10,BC001-S,50,-1,Internship Program,4449-MR Sheikh Abujar,09:30,11:00,A
SETS,CSE499,"CSE499,CEN499,CSC499",8,3,10,0,A4L04-S,20,B-0,Internship Program,4376-MR Sanzar Adnan Alam,12:30,14:00,A
SETS,CSE499,"CSE499,CEN499,CSC499",9,3,10,8,A4L04-S,20,-1,Internship Program,4416-MR Md. Fahad Monir,15:30,17:00,A
SETS,CSE499,"CSE499,CEN499,CSC499",10,3,10,10,A4L04-S,20,-1,Internship Program,4408-MR Asif Bin Khaled,12:30,14:00,A
SETS,CSE499,"CSE499,CEN499,CSC499",11,3,10,0,A4L04-S,20,B-0,Internship Program,4409-MS Ajmiri Sabrina Khan,11:00,12:30,A
SETS,CSE499,"CSE499,CEN499,CSC499",12,3,10,0,A4L04-S,20,0,Internship Program,4449-MR Sheikh Abujar,11:00,12:30,A
SETS,CSE499,"CSE499,CEN499,CSC499",13,3,10,1,A4L04-S,20,-1,Internship Program,4453-MS Moumita Asad,11:00,12:30,A
